listing_id,district_name,borough,inside_ringbahn,property_type,is_furnished,size_sqm,cold_rent_eur,warm_rent_eur,effective_m2_cold,listing_date,hunting_difficulty_score,anmeldung_ease_score
1,Lichtenberg,Lichtenberg,False,Room,False,17.4,268.05,384.71,15.41,2026-06-15,2,4
2,Wedding,Mitte,True,Room,False,14.4,244.52,387.37,16.98,2025-06-14,3,3
3,Wedding,Mitte,True,Room,False,21.6,366.9,515.2,16.99,2026-07-20,3,3
4,Mitte,Mitte,True,Apartment,True,56.1,1450.03,1664.12,25.85,2025-07-23,5,4
5,Friedrichshain,Friedrichshain-Kreuzberg,True,Room,True,18.8,461.97,601.83,24.57,2025-08-03,5,3
6,Schöneberg,Tempelhof-Schöneberg,True,Room,True,22.8,592.58,715.08,25.99,2025-07-06,4,4
7,Mitte,Mitte,True,Apartment,False,84.3,1977.5,2309.62,23.46,2025-12-12,5,4
8,Neukölln,Neukölln,True,Apartment,False,43.1,747.5,907.15,17.34,2026-05-26,4,3
9,Lichtenberg,Lichtenberg,False,Apartment,False,43.6,641.29,776.28,14.71,2025-12-12,2,4
10,Neukölln,Neukölln,True,Apartment,False,62.8,1161.56,1407.2,18.5,2026-07-03,4,3
11,Mitte,Mitte,True,Room,True,18.4,500.71,672.0,27.21,2026-08-23,5,4
12,Steglitz,Steglitz-Zehlendorf,False,Room,False,19.5,348.98,488.81,17.9,2025-10-14,2,5
13,Kreuzberg,Friedrichshain-Kreuzberg,True,Room,False,17.7,404.67,573.03,22.86,2025-12-22,5,3
14,Charlottenburg,Charlottenburg-Wilmersdorf,True,Room,False,21.1,405.02,518.08,19.2,2025-07-27,4,4
15,Kreuzberg,Friedrichshain-Kreuzberg,True,Apartment,False,56.1,1036.03,1224.41,18.47,2026-01-26,5,3
16,Wedding,Mitte,True,Room,False,27.2,501.88,619.33,18.45,2026-08-28,3,3
17,Wedding,Mitte,True,Apartment,False,52.0,773.56,934.23,14.88,2025-06-02,3,3
18,Steglitz,Steglitz-Zehlendorf,False,Apartment,True,60.0,1073.28,1309.96,17.89,2025-10-31,2,5
19,Lichtenberg,Lichtenberg,False,Apartment,True,53.7,947.8,1162.97,17.65,2025-06-01,2,4
20,Pankow,Pankow,False,Room,True,27.0,610.27,740.26,22.6,2025-06-30,3,4
21,Prenzlauer Berg,Pankow,True,Apartment,False,39.3,807.51,924.74,20.55,2026-06-25,5,4
22,Wedding,Mitte,True,Apartment,True,58.8,1141.24,1373.32,19.41,2026-01-03,3,3
23,Prenzlauer Berg,Pankow,True,Apartment,False,69.5,1491.77,1726.6,21.46,2026-05-10,5,4
24,Lichtenberg,Lichtenberg,False,Room,False,20.3,319.18,433.34,15.72,2025-06-11,2,4
25,Pankow,Pankow,False,Apartment,False,35.4,544.9,650.06,15.39,2025-07-05,3,4
26,Mitte,Mitte,True,Apartment,True,46.9,1309.26,1452.72,27.92,2026-08-26,5,4
27,Pankow,Pankow,False,Apartment,True,58.6,1033.12,1249.4,17.63,2025-11-29,3,4
28,Schöneberg,Tempelhof-Schöneberg,True,Room,False,14.8,311.74,463.74,21.06,2025-07-02,4,4
29,Schöneberg,Tempelhof-Schöneberg,True,Apartment,False,40.5,690.85,834.36,17.06,2025-08-11,4,4
30,Schöneberg,Tempelhof-Schöneberg,True,Room,False,26.2,496.53,659.05,18.95,2026-08-13,4,4
31,Wedding,Mitte,True,Room,False,21.6,352.75,468.81,16.33,2026-06-21,3,3
32,Prenzlauer Berg,Pankow,True,Room,False,17.0,382.89,496.7,22.52,2025-12-12,5,4
33,Mitte,Mitte,True,Apartment,True,74.2,2037.76,2338.18,27.46,2026-07-07,5,4
34,Wedding,Mitte,True,Apartment,False,44.5,651.74,783.91,14.65,2026-06-12,3,3
35,Wedding,Mitte,True,Room,True,14.7,325.02,469.54,22.11,2025-06-30,3,3
36,Wedding,Mitte,True,Room,True,22.3,482.44,600.23,21.63,2026-08-30,3,3
37,Pankow,Pankow,False,Room,False,22.7,384.15,532.09,16.92,2026-02-23,3,4
38,Charlottenburg,Charlottenburg-Wilmersdorf,True,Apartment,True,70.8,1553.16,1815.55,21.94,2025-11-01,4,4
39,Moabit,Mitte,True,Room,False,15.0,285.71,460.61,19.05,2025-07-22,4,3
40,Friedrichshain,Friedrichshain-Kreuzberg,True,Apartment,False,41.6,802.93,927.0,19.3,2025-10-04,5,3
41,Charlottenburg,Charlottenburg-Wilmersdorf,True,Room,False,21.6,431.49,605.44,19.98,2026-07-19,4,4
42,Lichtenberg,Lichtenberg,False,Apartment,False,62.7,957.28,1146.9,15.27,2026-08-24,2,4
43,Kreuzberg,Friedrichshain-Kreuzberg,True,Room,False,24.4,515.82,644.13,21.14,2025-09-16,5,3
44,Steglitz,Steglitz-Zehlendorf,False,Room,False,25.9,432.04,558.36,16.68,2026-08-08,2,5
45,Mitte,Mitte,True,Room,False,17.9,395.51,555.63,22.1,2026-04-23,5,4
46,Neukölln,Neukölln,True,Room,False,23.9,488.02,605.29,20.42,2026-08-27,4,3
47,Steglitz,Steglitz-Zehlendorf,False,Apartment,False,76.7,1113.0,1349.06,14.51,2025-08-05,2,5
48,Mitte,Mitte,True,Room,False,25.1,647.54,815.97,25.8,2025-09-16,5,4
49,Lichtenberg,Lichtenberg,False,Room,True,24.9,521.49,671.83,20.94,2025-08-19,2,4
50,Prenzlauer Berg,Pankow,True,Apartment,False,75.5,1671.94,1893.14,22.14,2026-06-13,5,4
51,Charlottenburg,Charlottenburg-Wilmersdorf,True,Apartment,False,68.5,1315.63,1534.68,19.21,2025-08-21,4,4
52,Steglitz,Steglitz-Zehlendorf,False,Room,False,26.0,411.86,574.94,15.84,2026-01-22,2,5
53,Charlottenburg,Charlottenburg-Wilmersdorf,True,Room,False,17.2,325.89,448.44,18.95,2025-11-16,4,4
54,Neukölln,Neukölln,True,Apartment,False,49.0,898.91,1064.51,18.35,2026-08-06,4,3
55,Wedding,Mitte,True,Room,True,26.3,543.82,717.75,20.68,2025-06-20,3,3
56,Friedrichshain,Friedrichshain-Kreuzberg,True,Apartment,True,74.3,1966.73,2192.51,26.47,2026-03-23,5,3
57,Prenzlauer Berg,Pankow,True,Room,False,14.0,345.32,490.32,24.67,2026-06-04,5,4
58,Steglitz,Steglitz-Zehlendorf,False,Apartment,True,56.6,1176.72,1383.18,20.79,2026-05-06,2,5
59,Friedrichshain,Friedrichshain-Kreuzberg,True,Apartment,True,50.5,1243.22,1407.59,24.62,2025-08-05,5,3
60,Prenzlauer Berg,Pankow,True,Room,False,23.5,577.46,727.47,24.57,2025-11-02,5,4
61,Schöneberg,Tempelhof-Schöneberg,True,Apartment,True,49.3,1136.14,1317.84,23.05,2026-01-25,4,4
62,Moabit,Mitte,True,Room,True,20.6,520.83,641.86,25.28,2025-07-14,4,3
63,Neukölln,Neukölln,True,Apartment,False,51.8,982.36,1179.27,18.96,2026-05-11,4,3
64,Neukölln,Neukölln,True,Room,True,14.3,330.18,495.41,23.09,2025-07-08,4,3
65,Moabit,Mitte,True,Room,False,16.7,331.69,473.82,19.86,2025-10-03,4,3
66,Kreuzberg,Friedrichshain-Kreuzberg,True,Apartment,True,72.5,1874.74,2121.98,25.86,2025-08-30,5,3
67,Steglitz,Steglitz-Zehlendorf,False,Apartment,True,47.5,919.17,1102.6,19.35,2026-05-08,2,5
68,Wedding,Mitte,True,Apartment,False,82.5,1377.25,1677.15,16.69,2026-06-04,3,3
69,Wedding,Mitte,True,Room,False,20.2,339.18,505.18,16.79,2026-01-17,3,3
70,Neukölln,Neukölln,True,Apartment,False,48.9,920.39,1090.64,18.82,2025-10-01,4,3
71,Neukölln,Neukölln,True,Room,False,17.3,339.24,507.29,19.61,2025-07-12,4,3
72,Kreuzberg,Friedrichshain-Kreuzberg,True,Room,True,16.1,410.03,541.54,25.47,2026-01-25,5,3
73,Schöneberg,Tempelhof-Schöneberg,True,Room,False,19.5,419.03,590.52,21.49,2025-06-11,4,4
74,Pankow,Pankow,False,Room,True,18.9,418.99,590.96,22.17,2026-01-01,3,4
75,Wedding,Mitte,True,Apartment,False,65.2,955.47,1161.72,14.65,2026-01-10,3,3
76,Moabit,Mitte,True,Room,True,23.5,517.08,657.46,22.0,2025-08-05,4,3
77,Pankow,Pankow,False,Apartment,False,64.6,985.97,1179.82,15.26,2026-01-06,3,4
78,Kreuzberg,Friedrichshain-Kreuzberg,True,Apartment,True,48.0,1187.79,1346.43,24.75,2026-08-25,5,3
79,Schöneberg,Tempelhof-Schöneberg,True,Room,False,19.9,432.36,572.93,21.73,2026-06-19,4,4
80,Wedding,Mitte,True,Room,False,17.1,282.19,454.41,16.5,2025-06-21,3,3
81,Mitte,Mitte,True,Apartment,True,36.0,896.73,1030.05,24.91,2026-03-16,5,4
82,Prenzlauer Berg,Pankow,True,Apartment,True,53.4,1510.07,1710.96,28.28,2026-07-04,5,4
83,Kreuzberg,Friedrichshain-Kreuzberg,True,Apartment,True,36.3,919.04,1066.05,25.32,2025-12-21,5,3
84,Steglitz,Steglitz-Zehlendorf,False,Room,False,25.6,407.07,562.39,15.9,2025-11-02,2,5
85,Lichtenberg,Lichtenberg,False,Apartment,True,84.2,1566.2,1853.66,18.6,2025-12-07,2,4
86,Friedrichshain,Friedrichshain-Kreuzberg,True,Apartment,True,77.5,1992.62,2306.72,25.71,2026-04-22,5,3
87,Moabit,Mitte,True,Apartment,False,71.7,1316.85,1548.02,18.37,2026-07-19,4,3
88,Wedding,Mitte,True,Apartment,False,76.3,1204.4,1455.18,15.79,2025-10-04,3,3
89,Friedrichshain,Friedrichshain-Kreuzberg,True,Room,False,24.5,551.17,704.6,22.5,2025-11-20,5,3
90,Mitte,Mitte,True,Apartment,True,59.4,1567.72,1759.91,26.39,2026-04-02,5,4
91,Steglitz,Steglitz-Zehlendorf,False,Apartment,False,60.8,815.63,1009.56,13.41,2025-12-26,2,5
