trend_id,district_name,year,property_type,avg_warm_rent_eur,yoy_increase_percentage
1,Mitte,2022,Apartment,1380.0,0.0
2,Mitte,2023,Apartment,1469.7,6.5
3,Mitte,2024,Apartment,1589.76,8.17
4,Mitte,2025,Apartment,1697.4,6.77
5,Mitte,2026,Apartment,1773.3,4.47
6,Mitte,2022,Room,540.0,0.0
7,Mitte,2023,Room,575.1,6.5
8,Mitte,2024,Room,622.08,8.17
9,Mitte,2025,Room,664.2,6.77
10,Mitte,2026,Room,693.9,4.47
11,Friedrichshain,2022,Apartment,1190.0,0.0
12,Friedrichshain,2023,Apartment,1267.35,6.5
13,Friedrichshain,2024,Apartment,1370.88,8.17
14,Friedrichshain,2025,Apartment,1463.7,6.77
15,Friedrichshain,2026,Apartment,1529.15,4.47
16,Friedrichshain,2022,Room,480.0,0.0
17,Friedrichshain,2023,Room,511.2,6.5
18,Friedrichshain,2024,Room,552.96,8.17
19,Friedrichshain,2025,Room,590.4,6.77
20,Friedrichshain,2026,Room,616.8,4.47
21,Kreuzberg,2022,Apartment,1180.0,0.0
22,Kreuzberg,2023,Apartment,1256.7,6.5
23,Kreuzberg,2024,Apartment,1359.36,8.17
24,Kreuzberg,2025,Apartment,1451.4,6.77
25,Kreuzberg,2026,Apartment,1516.3,4.47
26,Kreuzberg,2022,Room,490.0,0.0
27,Kreuzberg,2023,Room,521.85,6.5
28,Kreuzberg,2024,Room,564.48,8.17
29,Kreuzberg,2025,Room,602.7,6.77
30,Kreuzberg,2026,Room,629.65,4.47
31,Prenzlauer Berg,2022,Apartment,1210.0,0.0
32,Prenzlauer Berg,2023,Apartment,1288.65,6.5
33,Prenzlauer Berg,2024,Apartment,1393.92,8.17
34,Prenzlauer Berg,2025,Apartment,1488.3,6.77
35,Prenzlauer Berg,2026,Apartment,1554.85,4.47
36,Prenzlauer Berg,2022,Room,510.0,0.0
37,Prenzlauer Berg,2023,Room,543.15,6.5
38,Prenzlauer Berg,2024,Room,587.52,8.17
39,Prenzlauer Berg,2025,Room,627.3,6.77
40,Prenzlauer Berg,2026,Room,655.35,4.47
41,Neukölln,2022,Apartment,980.0,0.0
42,Neukölln,2023,Apartment,1043.7,6.5
43,Neukölln,2024,Apartment,1128.96,8.17
44,Neukölln,2025,Apartment,1205.4,6.77
45,Neukölln,2026,Apartment,1259.3,4.47
46,Neukölln,2022,Room,420.0,0.0
47,Neukölln,2023,Room,447.3,6.5
48,Neukölln,2024,Room,483.84,8.17
49,Neukölln,2025,Room,516.6,6.77
50,Neukölln,2026,Room,539.7,4.47
51,Charlottenburg,2022,Apartment,1150.0,0.0
52,Charlottenburg,2023,Apartment,1224.75,6.5
53,Charlottenburg,2024,Apartment,1324.8,8.17
54,Charlottenburg,2025,Apartment,1414.5,6.77
55,Charlottenburg,2026,Apartment,1477.75,4.47
56,Charlottenburg,2022,Room,490.0,0.0
57,Charlottenburg,2023,Room,521.85,6.5
58,Charlottenburg,2024,Room,564.48,8.17
59,Charlottenburg,2025,Room,602.7,6.77
60,Charlottenburg,2026,Room,629.65,4.47
61,Schöneberg,2022,Apartment,1080.0,0.0
62,Schöneberg,2023,Apartment,1150.2,6.5
63,Schöneberg,2024,Apartment,1244.16,8.17
64,Schöneberg,2025,Apartment,1328.4,6.77
65,Schöneberg,2026,Apartment,1387.8,4.47
66,Schöneberg,2022,Room,460.0,0.0
67,Schöneberg,2023,Room,489.9,6.5
68,Schöneberg,2024,Room,529.92,8.17
69,Schöneberg,2025,Room,565.8,6.77
70,Schöneberg,2026,Room,591.1,4.47
71,Moabit,2022,Apartment,1120.0,0.0
72,Moabit,2023,Apartment,1192.8,6.5
73,Moabit,2024,Apartment,1290.24,8.17
74,Moabit,2025,Apartment,1377.6,6.77
75,Moabit,2026,Apartment,1439.2,4.47
76,Moabit,2022,Room,450.0,0.0
77,Moabit,2023,Room,479.25,6.5
78,Moabit,2024,Room,518.4,8.17
79,Moabit,2025,Room,553.5,6.77
80,Moabit,2026,Room,578.25,4.47
81,Wedding,2022,Apartment,920.0,0.0
82,Wedding,2023,Apartment,979.8,6.5
83,Wedding,2024,Apartment,1059.84,8.17
84,Wedding,2025,Apartment,1131.6,6.77
85,Wedding,2026,Apartment,1182.2,4.47
