listing_id,district_id,district_name,property_type,is_furnished,size_sqm,cold_rent_eur,warm_rent_eur,sample_size_total
1,1,Mitte,Apartment,No,58,948,1118,480
2,1,Mitte,Apartment,No,50,709,884,480
3,1,Mitte,Apartment,Yes,71,1213,1459,480
4,1,Mitte,Apartment,No,61,878,1058,480
5,1,Mitte,Apartment,No,55,837,1018,480
6,1,Mitte,Apartment,No,29,409,499,480
7,1,Mitte,Apartment,No,70,1004,1233,480
8,1,Mitte,Apartment,No,49,675,819,480
9,1,Mitte,Apartment,No,45,728,858,480
10,1,Mitte,Apartment,No,48,742,911,480
11,1,Mitte,Apartment,No,62,916,1117,480
12,1,Mitte,Apartment,Yes,37,661,788,480
13,1,Mitte,Apartment,No,61,849,1022,480
14,1,Mitte,Apartment,No,54,800,963,480
15,1,Mitte,Apartment,No,46,674,808,480
16,1,Mitte,Apartment,No,65,1080,1313,480
17,1,Mitte,Apartment,Yes,44,749,897,480
18,1,Mitte,Apartment,Yes,59,1205,1374,480
19,1,Mitte,Apartment,No,42,708,837,480
20,1,Mitte,Apartment,No,48,664,811,480
21,1,Mitte,Apartment,No,62,1050,1230,480
22,1,Mitte,Apartment,Yes,68,1384,1605,480
23,1,Mitte,Apartment,No,52,809,956,480
24,1,Mitte,Apartment,No,71,994,1229,480
25,1,Mitte,Apartment,No,53,902,1068,480
26,1,Mitte,Apartment,No,28,460,540,480
27,1,Mitte,Apartment,Yes,42,898,1037,480
28,1,Mitte,Apartment,Yes,46,971,1107,480
29,1,Mitte,Apartment,Yes,53,1102,1264,480
30,1,Mitte,Apartment,No,64,896,1097,480
31,1,Mitte,Apartment,No,56,763,939,480
32,1,Mitte,Apartment,No,55,794,963,480
33,1,Mitte,Apartment,Yes,50,972,1127,480
34,1,Mitte,Apartment,Yes,57,1230,1401,480
35,1,Mitte,Apartment,No,29,425,520,480
36,1,Mitte,Apartment,No,52,805,962,480
37,1,Mitte,Apartment,No,50,707,886,480
38,1,Mitte,Apartment,No,56,812,1003,480
39,1,Mitte,Apartment,No,61,914,1116,480
40,1,Mitte,Apartment,No,41,640,782,480
41,1,Mitte,Apartment,No,40,550,684,480
