trend_id,district_id,district_name,year,property_type,avg_warm_rent_eur,sample_listings
1,1,Mitte,2022,Apartment,1076,480
2,1,Mitte,2022,Room,562,350
3,1,Mitte,2023,Apartment,1159,480
4,1,Mitte,2023,Room,605,350
5,1,Mitte,2024,Apartment,1256,480
6,1,Mitte,2024,Room,655,350
7,1,Mitte,2025,Apartment,1325,480
8,1,Mitte,2025,Room,691,350
9,1,Mitte,2026,Apartment,1380,480
10,1,Mitte,2026,Room,720,350
11,2,Friedrichshain,2022,Apartment,1030,420
12,2,Friedrichshain,2022,Room,538,410
13,2,Friedrichshain,2023,Apartment,1109,420
14,2,Friedrichshain,2023,Room,580,410
15,2,Friedrichshain,2024,Apartment,1201,420
16,2,Friedrichshain,2024,Room,628,410
17,2,Friedrichshain,2025,Apartment,1267,420
18,2,Friedrichshain,2025,Room,662,410
19,2,Friedrichshain,2026,Apartment,1320,420
20,2,Friedrichshain,2026,Room,690,410
21,3,Kreuzberg,2022,Apartment,1022,390
22,3,Kreuzberg,2022,Room,530,430
23,3,Kreuzberg,2023,Apartment,1100,390
24,3,Kreuzberg,2023,Room,571,430
25,3,Kreuzberg,2024,Apartment,1192,390
26,3,Kreuzberg,2024,Room,619,430
27,3,Kreuzberg,2025,Apartment,1258,390
28,3,Kreuzberg,2025,Room,653,430
29,3,Kreuzberg,2026,Apartment,1310,390
30,3,Kreuzberg,2026,Room,680,430
31,4,Prenzlauer Berg,2022,Apartment,1006,360
32,4,Prenzlauer Berg,2022,Room,523,280
33,4,Prenzlauer Berg,2023,Apartment,1084,360
34,4,Prenzlauer Berg,2023,Room,563,280
35,4,Prenzlauer Berg,2024,Apartment,1174,360
36,4,Prenzlauer Berg,2024,Room,610,280
37,4,Prenzlauer Berg,2025,Apartment,1238,360
38,4,Prenzlauer Berg,2025,Room,643,280
39,4,Prenzlauer Berg,2026,Apartment,1290,360
40,4,Prenzlauer Berg,2026,Room,670,280
41,5,Charlottenburg,2022,Apartment,998,380
42,5,Charlottenburg,2022,Room,499,210
43,5,Charlottenburg,2023,Apartment,1075,380
44,5,Charlottenburg,2023,Room,538,210
45,5,Charlottenburg,2024,Apartment,1165,380
46,5,Charlottenburg,2024,Room,582,210
47,5,Charlottenburg,2025,Apartment,1229,380
48,5,Charlottenburg,2025,Room,614,210
49,5,Charlottenburg,2026,Apartment,1280,380
50,5,Charlottenburg,2026,Room,640,210
51,6,Schöneberg,2022,Apartment,897,310
52,6,Schöneberg,2022,Room,484,260
53,6,Schöneberg,2023,Apartment,966,310
54,6,Schöneberg,2023,Room,521,260
55,6,Schöneberg,2024,Apartment,1046,310
56,6,Schöneberg,2024,Room,564,260
57,6,Schöneberg,2025,Apartment,1104,310
58,6,Schöneberg,2025,Room,595,260
59,6,Schöneberg,2026,Apartment,1150,310
60,6,Schöneberg,2026,Room,620,260
61,7,Moabit,2022,Apartment,874,240
62,7,Moabit,2022,Room,460,220
63,7,Moabit,2023,Apartment,941,240
64,7,Moabit,2023,Room,496,220
65,7,Moabit,2024,Apartment,1019,240
66,7,Moabit,2024,Room,537,220
67,7,Moabit,2025,Apartment,1075,240
68,7,Moabit,2025,Room,566,220
69,7,Moabit,2026,Apartment,1120,240
70,7,Moabit,2026,Room,590,220
71,8,Neukölln,2022,Apartment,819,450
72,8,Neukölln,2022,Room,476,520
73,8,Neukölln,2023,Apartment,882,450
74,8,Neukölln,2023,Room,512,520
75,8,Neukölln,2024,Apartment,956,450
76,8,Neukölln,2024,Room,555,520
77,8,Neukölln,2025,Apartment,1008,450
78,8,Neukölln,2025,Room,586,520
79,8,Neukölln,2026,Apartment,1050,450
80,8,Neukölln,2026,Room,610,520
81,9,Pankow,2022,Apartment,842,260
82,9,Pankow,2022,Room,437,140
83,9,Pankow,2023,Apartment,907,260
84,9,Pankow,2023,Room,470,140
85,9,Pankow,2024,Apartment,983,260
86,9,Pankow,2024,Room,510,140
87,9,Pankow,2025,Apartment,1037,260
88,9,Pankow,2025,Room,538,140
89,9,Pankow,2026,Apartment,1080,260
90,9,Pankow,2026,Room,560,140
91,10,Wedding,2022,Apartment,788,290
92,10,Wedding,2022,Room,421,310
93,10,Wedding,2023,Apartment,848,290
94,10,Wedding,2023,Room,454,310
95,10,Wedding,2024,Apartment,919,290
96,10,Wedding,2024,Room,491,310
97,10,Wedding,2025,Apartment,970,290
98,10,Wedding,2025,Room,518,310
99,10,Wedding,2026,Apartment,1010,290
100,10,Wedding,2026,Room,540,310
101,11,Steglitz,2022,Apartment,850,220
102,11,Steglitz,2022,Room,429,130
103,11,Steglitz,2023,Apartment,916,220
104,11,Steglitz,2023,Room,462,130
105,11,Steglitz,2024,Apartment,992,220
106,11,Steglitz,2024,Room,500,130
107,11,Steglitz,2025,Apartment,1046,220
108,11,Steglitz,2025,Room,528,130
109,11,Steglitz,2026,Apartment,1090,220
110,11,Steglitz,2026,Room,550,130
111,12,Lichtenberg,2022,Apartment,749,250
112,12,Lichtenberg,2022,Room,398,160
113,12,Lichtenberg,2023,Apartment,806,250
114,12,Lichtenberg,2023,Room,428,160
115,12,Lichtenberg,2024,Apartment,874,250
116,12,Lichtenberg,2024,Room,464,160
117,12,Lichtenberg,2025,Apartment,922,250
118,12,Lichtenberg,2025,Room,490,160
119,12,Lichtenberg,2026,Apartment,960,250
120,12,Lichtenberg,2026,Room,510,160
