district_name,community,population_share_pct
Neukölln,Turkish & Arab,42
Neukölln,EU & UK/USA Expats,32
Neukölln,Other International,26
Kreuzberg,Turkish,38
Kreuzberg,Western Europe & USA,36
Kreuzberg,Other International,26
Mitte,Tech & Startup Expats (USA/UK/EU),52
Mitte,East Asian (Vietnam/China/Japan),22
Mitte,Other International,26
Lichtenberg,Vietnamese (Dong Xuan),45
Lichtenberg,Eastern European,28
Lichtenberg,Other International,27
Charlottenburg,Ukrainian & Eastern European,35
Charlottenburg,Middle Eastern & Asian,28
Charlottenburg,Other International,37
