listing_id,district_id,district_name,borough,inside_ringbahn,year,listing_date,property_type,is_furnished,size_sqm,cold_rent_eur,warm_rent_eur,effective_m2_cold
1,4,Lichtenberg,Lichtenberg,False,2022,2022-10-07,Room,False,17.4,215.1,319.71,12.36
2,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-11-29,Apartment,True,39.7,726.85,842.18,18.31
3,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-12-24,Apartment,True,64.5,909.04,1110.62,14.09
4,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-06-26,Room,True,27.4,504.54,608.89,18.41
5,8,Pankow,Pankow,False,2022,2022-05-31,Room,True,20.4,329.38,432.93,16.15
6,4,Lichtenberg,Lichtenberg,False,2022,2022-04-27,Apartment,False,63.9,722.43,878.43,11.31
7,7,Neukölln,Neukölln,True,2022,2022-07-06,Apartment,False,78.3,1006.12,1225.99,12.85
8,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-03-29,Room,True,17.7,407.42,534.83,23.02
9,12,Wedding,Mitte,True,2022,2022-12-17,Apartment,True,54.0,894.31,1050.98,16.56
10,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-05-18,Apartment,False,46.5,624.21,749.01,13.42
11,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-07-22,Room,False,26.3,447.19,576.68,17.0
12,4,Lichtenberg,Lichtenberg,False,2022,2022-10-26,Apartment,True,47.3,631.92,770.33,13.36
13,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-02-26,Room,False,15.9,258.62,392.63,16.27
14,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-08-28,Apartment,False,56.1,809.93,963.84,14.44
15,12,Wedding,Mitte,True,2022,2022-10-02,Room,False,27.2,398.62,503.77,14.66
16,7,Neukölln,Neukölln,True,2022,2022-05-15,Apartment,True,49.7,723.35,874.93,14.55
17,12,Wedding,Mitte,True,2022,2022-09-17,Apartment,False,40.3,499.34,626.59,12.39
18,8,Pankow,Pankow,False,2022,2022-11-03,Room,True,16.3,297.66,438.99,18.26
19,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-05-04,Apartment,True,53.1,1078.79,1217.67,20.32
20,8,Pankow,Pankow,False,2022,2022-03-07,Apartment,True,59.3,808.39,991.58,13.63
21,4,Lichtenberg,Lichtenberg,False,2022,2022-04-19,Apartment,False,48.3,561.83,696.14,11.63
22,12,Wedding,Mitte,True,2022,2022-07-11,Apartment,False,70.6,840.27,1052.39,11.9
23,6,Moabit,Mitte,True,2022,2022-10-11,Apartment,False,47.4,582.84,697.5,12.3
24,9,Prenzlauer Berg,Pankow,True,2022,2022-06-19,Apartment,True,70.4,1229.82,1400.77,17.47
25,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-10-23,Apartment,True,59.3,1161.33,1350.74,19.58
26,6,Moabit,Mitte,True,2022,2022-07-01,Room,False,19.7,286.44,416.09,14.54
27,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-02-01,Room,False,14.8,246.48,375.56,16.65
28,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-03-13,Apartment,False,40.5,541.19,657.94,13.36
29,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-10-09,Room,False,26.2,399.53,535.89,15.25
30,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-05-02,Room,False,25.7,480.87,622.56,18.71
31,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-01-02,Room,False,26.1,492.17,599.58,18.86
32,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-10-12,Room,False,20.4,328.32,471.4,16.09
33,4,Lichtenberg,Lichtenberg,False,2022,2022-06-10,Apartment,True,49.8,735.45,879.27,14.77
34,5,Mitte,Mitte,True,2022,2022-09-18,Room,False,26.9,516.04,618.6,19.18
35,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-10-19,Apartment,True,38.4,770.89,895.59,20.08
36,9,Prenzlauer Berg,Pankow,True,2022,2022-05-14,Apartment,True,39.1,800.43,905.4,20.47
37,9,Prenzlauer Berg,Pankow,True,2022,2022-02-07,Apartment,True,48.3,905.46,1041.26,18.75
38,5,Mitte,Mitte,True,2022,2022-05-16,Apartment,False,84.8,1329.46,1549.25,15.68
39,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-10-06,Apartment,False,79.0,1207.99,1408.81,15.29
40,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-10-11,Room,False,25.3,342.19,472.24,13.53
41,7,Neukölln,Neukölln,True,2022,2022-03-21,Apartment,True,78.9,1277.08,1519.16,16.19
42,7,Neukölln,Neukölln,True,2022,2022-05-09,Room,True,18.8,364.69,487.43,19.4
43,5,Mitte,Mitte,True,2022,2022-11-23,Room,False,17.9,316.47,451.17,17.68
44,7,Neukölln,Neukölln,True,2022,2022-12-20,Room,False,23.9,368.42,473.45,15.42
45,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-06-07,Apartment,False,64.1,940.55,1101.74,14.67
46,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-05-08,Apartment,False,78.0,1223.52,1425.47,15.69
47,4,Lichtenberg,Lichtenberg,False,2022,2022-03-21,Room,False,26.4,340.1,468.03,12.88
48,9,Prenzlauer Berg,Pankow,True,2022,2022-06-20,Apartment,False,75.5,1286.73,1469.61,17.04
49,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-02-25,Apartment,False,75.5,1023.2,1257.9,13.55
50,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-06-06,Apartment,False,46.1,688.63,818.37,14.94
51,9,Prenzlauer Berg,Pankow,True,2022,2022-05-23,Room,False,19.6,342.85,445.97,17.49
52,1,Charlottenburg,Charlottenburg-Wilmersdorf,True,2022,2022-03-01,Apartment,False,84.1,1239.59,1512.52,14.74
53,7,Neukölln,Neukölln,True,2022,2022-06-10,Room,False,17.7,254.58,374.14,14.38
54,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-12-29,Apartment,False,54.3,778.28,921.05,14.33
55,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-12-10,Room,False,21.5,361.51,494.9,16.81
56,9,Prenzlauer Berg,Pankow,True,2022,2022-06-03,Room,True,23.3,485.33,623.49,20.83
57,12,Wedding,Mitte,True,2022,2022-08-04,Room,False,19.6,271.18,376.91,13.84
58,4,Lichtenberg,Lichtenberg,False,2022,2022-10-08,Apartment,False,80.1,891.72,1105.66,11.13
59,5,Mitte,Mitte,True,2022,2022-12-12,Room,True,25.0,573.35,693.23,22.93
60,9,Prenzlauer Berg,Pankow,True,2022,2022-05-26,Apartment,False,83.0,1380.21,1628.63,16.63
61,12,Wedding,Mitte,True,2022,2022-06-08,Apartment,False,39.7,519.92,623.59,13.1
62,9,Prenzlauer Berg,Pankow,True,2022,2022-08-22,Apartment,True,37.3,810.38,925.7,21.73
63,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-03-17,Apartment,False,70.9,981.8,1177.46,13.85
64,4,Lichtenberg,Lichtenberg,False,2022,2022-04-23,Apartment,False,78.0,909.27,1151.12,11.66
65,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-03-04,Apartment,False,58.2,920.44,1108.18,15.82
66,6,Moabit,Mitte,True,2022,2022-08-15,Room,False,21.4,334.12,448.4,15.61
67,8,Pankow,Pankow,False,2022,2022-03-23,Apartment,False,56.3,701.34,859.05,12.46
68,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-09-24,Apartment,False,72.6,870.99,1063.35,12.0
69,6,Moabit,Mitte,True,2022,2022-10-04,Apartment,True,38.9,604.86,709.41,15.55
70,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-10-05,Room,True,23.7,494.04,612.38,20.85
71,6,Moabit,Mitte,True,2022,2022-10-22,Room,True,19.9,394.67,525.97,19.83
72,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-08-03,Apartment,False,49.9,691.75,851.55,13.86
73,12,Wedding,Mitte,True,2022,2022-08-12,Apartment,False,65.2,750.87,920.23,11.52
74,6,Moabit,Mitte,True,2022,2022-03-07,Room,True,23.5,418.21,539.24,17.8
75,8,Pankow,Pankow,False,2022,2022-08-08,Apartment,False,64.6,772.13,932.05,11.95
76,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-07-14,Apartment,True,48.0,899.16,1028.94,18.73
77,7,Neukölln,Neukölln,True,2022,2022-10-04,Apartment,False,47.6,578.42,693.49,12.15
78,5,Mitte,Mitte,True,2022,2022-05-07,Apartment,True,67.5,1513.31,1721.13,22.42
79,9,Prenzlauer Berg,Pankow,True,2022,2022-04-22,Apartment,False,46.9,744.9,862.29,15.88
80,6,Moabit,Mitte,True,2022,2022-02-28,Apartment,False,43.4,589.67,723.04,13.59
81,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-07-23,Apartment,True,36.3,692.74,811.16,19.08
82,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-06-04,Room,False,25.6,331.52,462.89,12.95
83,4,Lichtenberg,Lichtenberg,False,2022,2022-07-09,Apartment,True,84.2,1178.56,1413.1,14.0
84,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-11-22,Apartment,True,77.5,1500.52,1753.53,19.36
85,6,Moabit,Mitte,True,2022,2022-10-03,Apartment,False,71.7,1035.2,1224.71,14.44
86,6,Moabit,Mitte,True,2022,2022-02-14,Apartment,False,64.6,833.97,1003.28,12.91
87,7,Neukölln,Neukölln,True,2022,2022-06-16,Apartment,True,58.2,954.88,1096.06,16.41
88,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-10-12,Apartment,True,47.9,901.64,1054.54,18.82
89,5,Mitte,Mitte,True,2022,2022-09-01,Apartment,True,47.1,979.68,1102.91,20.8
90,4,Lichtenberg,Lichtenberg,False,2022,2022-05-05,Apartment,False,35.9,377.24,476.47,10.51
91,7,Neukölln,Neukölln,True,2022,2022-06-30,Apartment,True,62.7,1040.1,1221.64,16.59
92,11,Steglitz,Steglitz-Zehlendorf,False,2022,2022-12-20,Apartment,True,46.5,665.87,808.56,14.32
93,3,Kreuzberg,Friedrichshain-Kreuzberg,True,2022,2022-11-02,Room,False,17.9,322.67,456.88,18.03
94,7,Neukölln,Neukölln,True,2022,2022-12-29,Apartment,False,49.8,637.66,770.73,12.8
95,12,Wedding,Mitte,True,2022,2022-09-09,Room,True,14.8,254.68,383.38,17.21
96,2,Friedrichshain,Friedrichshain-Kreuzberg,True,2022,2022-01-27,Apartment,False,58.5,888.56,1038.67,15.19
97,7,Neukölln,Neukölln,True,2022,2022-11-19,Apartment,False,76.1,981.51,1169.22,12.9
98,4,Lichtenberg,Lichtenberg,False,2022,2022-08-02,Room,True,21.9,347.01,452.34,15.85
99,8,Pankow,Pankow,False,2022,2022-06-02,Apartment,False,73.8,838.91,1076.37,11.37
100,8,Pankow,Pankow,False,2022,2022-04-17,Apartment,True,66.1,993.16,1208.17,15.03
101,4,Lichtenberg,Lichtenberg,False,2022,2022-01-02,Room,False,16.2,201.35,304.73,12.43
102,10,Schöneberg,Tempelhof-Schöneberg,True,2022,2022-12-26,Apartment,False,49.6,667.78,818.38,13.46
103,6,Moabit,Mitte,True,2022,2022-04-12,Room,True,17.7,345.59,481.77,19.52
