trend_id,district_id,district_name,year,property_type,avg_warm_rent_eur,yoy_increase_percentage
1,5,Mitte,2022,Apartment,1380.0,0.0
2,5,Mitte,2023,Apartment,1469.7,6.5
3,5,Mitte,2024,Apartment,1589.76,8.17
4,5,Mitte,2025,Apartment,1697.4,6.77
5,5,Mitte,2026,Apartment,1773.3,4.47
6,5,Mitte,2022,Room,540.0,0.0
7,5,Mitte,2023,Room,575.1,6.5
8,5,Mitte,2024,Room,622.08,8.17
9,5,Mitte,2025,Room,664.2,6.77
10,5,Mitte,2026,Room,693.9,4.47
11,2,Friedrichshain,2022,Apartment,1190.0,0.0
12,2,Friedrichshain,2023,Apartment,1267.35,6.5
13,2,Friedrichshain,2024,Apartment,1370.88,8.17
14,2,Friedrichshain,2025,Apartment,1463.7,6.77
15,2,Friedrichshain,2026,Apartment,1529.15,4.47
16,2,Friedrichshain,2022,Room,480.0,0.0
17,2,Friedrichshain,2023,Room,511.2,6.5
18,2,Friedrichshain,2024,Room,552.96,8.17
19,2,Friedrichshain,2025,Room,590.4,6.77
20,2,Friedrichshain,2026,Room,616.8,4.47
21,3,Kreuzberg,2022,Apartment,1180.0,0.0
22,3,Kreuzberg,2023,Apartment,1256.7,6.5
23,3,Kreuzberg,2024,Apartment,1359.36,8.17
24,3,Kreuzberg,2025,Apartment,1451.4,6.77
25,3,Kreuzberg,2026,Apartment,1516.3,4.47
26,3,Kreuzberg,2022,Room,490.0,0.0
27,3,Kreuzberg,2023,Room,521.85,6.5
28,3,Kreuzberg,2024,Room,564.48,8.17
29,3,Kreuzberg,2025,Room,602.7,6.77
30,3,Kreuzberg,2026,Room,629.65,4.47
31,9,Prenzlauer Berg,2022,Apartment,1210.0,0.0
32,9,Prenzlauer Berg,2023,Apartment,1288.65,6.5
33,9,Prenzlauer Berg,2024,Apartment,1393.92,8.17
34,9,Prenzlauer Berg,2025,Apartment,1488.3,6.77
35,9,Prenzlauer Berg,2026,Apartment,1554.85,4.47
36,9,Prenzlauer Berg,2022,Room,510.0,0.0
37,9,Prenzlauer Berg,2023,Room,543.15,6.5
38,9,Prenzlauer Berg,2024,Room,587.52,8.17
39,9,Prenzlauer Berg,2025,Room,627.3,6.77
40,9,Prenzlauer Berg,2026,Room,655.35,4.47
41,7,Neukölln,2022,Apartment,980.0,0.0
42,7,Neukölln,2023,Apartment,1043.7,6.5
43,7,Neukölln,2024,Apartment,1128.96,8.17
44,7,Neukölln,2025,Apartment,1205.4,6.77
45,7,Neukölln,2026,Apartment,1259.3,4.47
46,7,Neukölln,2022,Room,420.0,0.0
47,7,Neukölln,2023,Room,447.3,6.5
48,7,Neukölln,2024,Room,483.84,8.17
49,7,Neukölln,2025,Room,516.6,6.77
50,7,Neukölln,2026,Room,539.7,4.47
51,1,Charlottenburg,2022,Apartment,1150.0,0.0
52,1,Charlottenburg,2023,Apartment,1224.75,6.5
53,1,Charlottenburg,2024,Apartment,1324.8,8.17
54,1,Charlottenburg,2025,Apartment,1414.5,6.77
55,1,Charlottenburg,2026,Apartment,1477.75,4.47
56,1,Charlottenburg,2022,Room,490.0,0.0
57,1,Charlottenburg,2023,Room,521.85,6.5
58,1,Charlottenburg,2024,Room,564.48,8.17
59,1,Charlottenburg,2025,Room,602.7,6.77
60,1,Charlottenburg,2026,Room,629.65,4.47
61,10,Schöneberg,2022,Apartment,1080.0,0.0
62,10,Schöneberg,2023,Apartment,1150.2,6.5
63,10,Schöneberg,2024,Apartment,1244.16,8.17
64,10,Schöneberg,2025,Apartment,1328.4,6.77
65,10,Schöneberg,2026,Apartment,1387.8,4.47
66,10,Schöneberg,2022,Room,460.0,0.0
67,10,Schöneberg,2023,Room,489.9,6.5
68,10,Schöneberg,2024,Room,529.92,8.17
69,10,Schöneberg,2025,Room,565.8,6.77
70,10,Schöneberg,2026,Room,591.1,4.47
71,6,Moabit,2022,Apartment,1120.0,0.0
72,6,Moabit,2023,Apartment,1192.8,6.5
73,6,Moabit,2024,Apartment,1290.24,8.17
74,6,Moabit,2025,Apartment,1377.6,6.77
75,6,Moabit,2026,Apartment,1439.2,4.47
76,6,Moabit,2022,Room,450.0,0.0
77,6,Moabit,2023,Room,479.25,6.5
78,6,Moabit,2024,Room,518.4,8.17
79,6,Moabit,2025,Room,553.5,6.77
80,6,Moabit,2026,Room,578.25,4.47
81,12,Wedding,2022,Apartment,920.0,0.0
82,12,Wedding,2023,Apartment,979.8,6.5
83,12,Wedding,2024,Apartment,1059.84,8.17
84,12,Wedding,2025,Apartment,1131.6,6.77
85,12,Wedding,2026,Apartment,1182.2,4.47
86,12,Wedding,2022,Room,390.0,0.0
87,12,Wedding,2023,Room,415.35,6.5
88,12,Wedding,2024,Room,449.28,8.17
89,12,Wedding,2025,Room,479.7,6.77
90,12,Wedding,2026,Room,501.15,4.47
91,8,Pankow,2022,Apartment,930.0,0.0
92,8,Pankow,2023,Apartment,990.45,6.5
93,8,Pankow,2024,Apartment,1071.36,8.17
94,8,Pankow,2025,Apartment,1143.9,6.77
95,8,Pankow,2026,Apartment,1195.05,4.47
96,8,Pankow,2022,Room,410.0,0.0
97,8,Pankow,2023,Room,436.65,6.5
98,8,Pankow,2024,Room,472.32,8.17
99,8,Pankow,2025,Room,504.3,6.77
100,8,Pankow,2026,Room,526.85,4.47
101,4,Lichtenberg,2022,Apartment,880.0,0.0
102,4,Lichtenberg,2023,Apartment,937.2,6.5
103,4,Lichtenberg,2024,Apartment,1013.76,8.17
104,4,Lichtenberg,2025,Apartment,1082.4,6.77
105,4,Lichtenberg,2026,Apartment,1130.8,4.47
106,4,Lichtenberg,2022,Room,370.0,0.0
107,4,Lichtenberg,2023,Room,394.05,6.5
108,4,Lichtenberg,2024,Room,426.24,8.17
109,4,Lichtenberg,2025,Room,455.1,6.77
110,4,Lichtenberg,2026,Room,475.45,4.47
111,11,Steglitz,2022,Apartment,940.0,0.0
112,11,Steglitz,2023,Apartment,1001.1,6.5
113,11,Steglitz,2024,Apartment,1082.88,8.17
114,11,Steglitz,2025,Apartment,1156.2,6.77
115,11,Steglitz,2026,Apartment,1207.9,4.47
116,11,Steglitz,2022,Room,400.0,0.0
117,11,Steglitz,2023,Room,426.0,6.5
118,11,Steglitz,2024,Room,460.8,8.17
119,11,Steglitz,2025,Room,492.0,6.77
120,11,Steglitz,2026,Room,514.0,4.47
