id,district_id,district_name,property_type,size_sqm,total_monthly_rent_eur,sample_size_analyzed
1,1,Mitte,1-Bedroom Flat (1+1 / 1+2),52,1494,480
2,1,Mitte,1-Bedroom Flat (1+1 / 1+2),82,2007,480
3,1,Mitte,1-Bedroom Flat (1+1 / 1+2),74,1918,480
4,1,Mitte,1-Bedroom Flat (1+1 / 1+2),73,1604,480
5,1,Mitte,1-Bedroom Flat (1+1 / 1+2),59,1750,480
6,1,Mitte,1-Bedroom Flat (1+1 / 1+2),56,1743,480
7,1,Mitte,1-Bedroom Flat (1+1 / 1+2),77,1878,480
8,1,Mitte,1-Bedroom Flat (1+1 / 1+2),57,1509,480
9,1,Mitte,1-Bedroom Flat (1+1 / 1+2),56,1473,480
10,1,Mitte,1-Bedroom Flat (1+1 / 1+2),66,1613,480
11,1,Mitte,1-Bedroom Flat (1+1 / 1+2),68,1833,480
12,1,Mitte,1-Bedroom Flat (1+1 / 1+2),45,1547,480
13,1,Mitte,1-Bedroom Flat (1+1 / 1+2),67,1827,480
14,1,Mitte,1-Bedroom Flat (1+1 / 1+2),54,1608,480
15,1,Mitte,1-Bedroom Flat (1+1 / 1+2),73,1847,480
16,1,Mitte,1-Bedroom Flat (1+1 / 1+2),82,2004,480
17,1,Mitte,1-Bedroom Flat (1+1 / 1+2),73,1882,480
18,1,Mitte,1-Bedroom Flat (1+1 / 1+2),68,1626,480
19,1,Mitte,1-Bedroom Flat (1+1 / 1+2),66,1678,480
20,1,Mitte,1-Bedroom Flat (1+1 / 1+2),54,1709,480
21,1,Mitte,1-Bedroom Flat (1+1 / 1+2),60,1558,480
22,1,Mitte,1-Bedroom Flat (1+1 / 1+2),58,1499,480
23,1,Mitte,1-Bedroom Flat (1+1 / 1+2),76,1841,480
24,1,Mitte,1-Bedroom Flat (1+1 / 1+2),67,1882,480
25,1,Mitte,1-Bedroom Flat (1+1 / 1+2),57,1648,480
26,1,Mitte,1-Bedroom Flat (1+1 / 1+2),52,1740,480
27,1,Mitte,1-Bedroom Flat (1+1 / 1+2),71,1807,480
28,1,Mitte,1-Bedroom Flat (1+1 / 1+2),54,1542,480
29,1,Mitte,1-Bedroom Flat (1+1 / 1+2),59,1808,480
30,1,Mitte,1-Bedroom Flat (1+1 / 1+2),50,1500,480
31,1,Mitte,1-Bedroom Flat (1+1 / 1+2),62,1669,480
32,1,Mitte,1-Bedroom Flat (1+1 / 1+2),61,1654,480
33,1,Mitte,1-Bedroom Flat (1+1 / 1+2),71,1879,480
34,1,Mitte,1-Bedroom Flat (1+1 / 1+2),66,1471,480
35,1,Mitte,1-Bedroom Flat (1+1 / 1+2),65,1579,480
36,1,Mitte,1-Bedroom Flat (1+1 / 1+2),68,1909,480
37,1,Mitte,1-Bedroom Flat (1+1 / 1+2),53,1512,480
38,1,Mitte,1-Bedroom Flat (1+1 / 1+2),56,1695,480
39,1,Mitte,1-Bedroom Flat (1+1 / 1+2),63,1852,480
40,1,Mitte,1-Bedroom Flat (1+1 / 1+2),66,1766,480
41,1,Mitte,1-Bedroom Flat (1+1 / 1+2),63,1770,480
42,1,Mitte,1-Bedroom Flat (1+1 / 1+2),45,1416,480
43,1,Mitte,1-Bedroom Flat (1+1 / 1+2),61,1729,480
44,1,Mitte,1-Bedroom Flat (1+1 / 1+2),60,1555,480
45,1,Mitte,1-Bedroom Flat (1+1 / 1+2),62,1583,480
46,1,Mitte,1-Bedroom Flat (1+1 / 1+2),45,1473,480
47,1,Mitte,1-Bedroom Flat (1+1 / 1+2),68,1818,480
48,1,Mitte,1-Bedroom Flat (1+1 / 1+2),75,1828,480
49,1,Mitte,1-Bedroom Flat (1+1 / 1+2),48,1450,480
50,1,Mitte,1-Bedroom Flat (1+1 / 1+2),59,1556,480
51,1,Mitte,1-Bedroom Flat (1+1 / 1+2),61,1609,480
52,1,Mitte,1-Bedroom Flat (1+1 / 1+2),45,1368,480
53,1,Mitte,1-Bedroom Flat (1+1 / 1+2),51,1525,480
54,1,Mitte,1-Bedroom Flat (1+1 / 1+2),55,1668,480
55,1,Mitte,1-Bedroom Flat (1+1 / 1+2),78,1997,480
56,1,Mitte,1-Bedroom Flat (1+1 / 1+2),46,1559,480
57,1,Mitte,1-Bedroom Flat (1+1 / 1+2),78,1938,480
58,1,Mitte,1-Bedroom Flat (1+1 / 1+2),75,1838,480
59,1,Mitte,1-Bedroom Flat (1+1 / 1+2),45,1340,480
60,1,Mitte,1-Bedroom Flat (1+1 / 1+2),79,1818,480
61,1,Mitte,1-Bedroom Flat (1+1 / 1+2),62,1683,480
62,1,Mitte,1-Bedroom Flat (1+1 / 1+2),57,1560,480
63,1,Mitte,1-Bedroom Flat (1+1 / 1+2),63,1645,480
64,1,Mitte,1-Bedroom Flat (1+1 / 1+2),48,1475,480
65,1,Mitte,1-Bedroom Flat (1+1 / 1+2),73,1934,480
66,1,Mitte,1-Bedroom Flat (1+1 / 1+2),54,1439,480
67,1,Mitte,1-Bedroom Flat (1+1 / 1+2),59,1773,480
68,1,Mitte,1-Bedroom Flat (1+1 / 1+2),68,1839,480
69,1,Mitte,1-Bedroom Flat (1+1 / 1+2),71,1862,480
70,1,Mitte,1-Bedroom Flat (1+1 / 1+2),63,1756,480
71,1,Mitte,1-Bedroom Flat (1+1 / 1+2),57,1473,480
72,1,Mitte,1-Bedroom Flat (1+1 / 1+2),69,1903,480
73,1,Mitte,1-Bedroom Flat (1+1 / 1+2),51,1578,480
74,1,Mitte,1-Bedroom Flat (1+1 / 1+2),79,1952,480
75,1,Mitte,1-Bedroom Flat (1+1 / 1+2),54,1563,480
76,1,Mitte,1-Bedroom Flat (1+1 / 1+2),56,1528,480
77,1,Mitte,1-Bedroom Flat (1+1 / 1+2),66,1600,480
78,1,Mitte,1-Bedroom Flat (1+1 / 1+2),48,1458,480
79,1,Mitte,1-Bedroom Flat (1+1 / 1+2),62,1711,480
80,1,Mitte,1-Bedroom Flat (1+1 / 1+2),81,1993,480
81,1,Mitte,1-Bedroom Flat (1+1 / 1+2),68,1688,480
82,1,Mitte,1-Bedroom Flat (1+1 / 1+2),70,1761,480
83,1,Mitte,1-Bedroom Flat (1+1 / 1+2),63,1686,480
84,1,Mitte,1-Bedroom Flat (1+1 / 1+2),72,1722,480
85,1,Mitte,1-Bedroom Flat (1+1 / 1+2),45,1389,480
86,1,Mitte,1-Bedroom Flat (1+1 / 1+2),67,1774,480
87,1,Mitte,1-Bedroom Flat (1+1 / 1+2),74,1911,480
88,1,Mitte,1-Bedroom Flat (1+1 / 1+2),56,1375,480
89,1,Mitte,1-Bedroom Flat (1+1 / 1+2),60,1741,480
90,1,Mitte,1-Bedroom Flat (1+1 / 1+2),58,1619,480
91,1,Mitte,1-Bedroom Flat (1+1 / 1+2),66,1653,480
92,1,Mitte,1-Bedroom Flat (1+1 / 1+2),68,1923,480
93,1,Mitte,1-Bedroom Flat (1+1 / 1+2),60,1546,480
94,1,Mitte,1-Bedroom Flat (1+1 / 1+2),61,1464,480
95,1,Mitte,1-Bedroom Flat (1+1 / 1+2),65,1769,480
96,1,Mitte,1-Bedroom Flat (1+1 / 1+2),79,1935,480
97,1,Mitte,1-Bedroom Flat (1+1 / 1+2),66,1666,480
98,1,Mitte,1-Bedroom Flat (1+1 / 1+2),58,1479,480
99,1,Mitte,1-Bedroom Flat (1+1 / 1+2),60,1621,480
100,1,Mitte,1-Bedroom Flat (1+1 / 1+2),65,1672,480
101,1,Mitte,1-Bedroom Flat (1+1 / 1+2),63,1666,480
102,1,Mitte,1-Bedroom Flat (1+1 / 1+2),59,1639,480
