id,district_id,district_name,property_type,size_sqm,total_monthly_rent_eur,sample_size_analyzed
1,1,Mitte,1-Room Studio (1+0),38,1097,240
2,1,Mitte,1-Room Studio (1+0),35,1165,240
3,1,Mitte,1-Room Studio (1+0),34,1073,240
4,1,Mitte,1-Room Studio (1+0),39,1186,240
5,1,Mitte,1-Room Studio (1+0),27,871,240
6,1,Mitte,1-Room Studio (1+0),40,1265,240
7,1,Mitte,1-Room Studio (1+0),34,1094,240
8,1,Mitte,1-Room Studio (1+0),32,1019,240
9,1,Mitte,1-Room Studio (1+0),32,957,240
10,1,Mitte,1-Room Studio (1+0),31,1047,240
11,1,Mitte,1-Room Studio (1+0),37,1172,240
12,1,Mitte,1-Room Studio (1+0),38,1273,240
13,1,Mitte,1-Room Studio (1+0),39,1238,240
14,1,Mitte,1-Room Studio (1+0),34,1061,240
15,1,Mitte,1-Room Studio (1+0),37,1275,240
16,1,Mitte,1-Room Studio (1+0),36,1271,240
17,1,Mitte,1-Room Studio (1+0),27,925,240
18,1,Mitte,1-Room Studio (1+0),38,1208,240
19,1,Mitte,1-Room Studio (1+0),40,1227,240
20,1,Mitte,1-Room Studio (1+0),30,1035,240
21,1,Mitte,1-Room Studio (1+0),27,926,240
22,1,Mitte,1-Room Studio (1+0),38,1244,240
23,1,Mitte,1-Room Studio (1+0),36,1053,240
24,1,Mitte,1-Room Studio (1+0),32,1011,240
25,1,Mitte,1-Room Studio (1+0),39,1175,240
26,1,Mitte,1-Room Studio (1+0),29,1032,240
27,1,Mitte,1-Room Studio (1+0),31,1155,240
28,1,Mitte,1-Room Studio (1+0),31,982,240
29,1,Mitte,1-Room Studio (1+0),25,956,240
30,1,Mitte,1-Room Studio (1+0),31,980,240
31,1,Mitte,1-Room Studio (1+0),39,1250,240
32,1,Mitte,1-Room Studio (1+0),34,1202,240
33,1,Mitte,1-Room Studio (1+0),37,1125,240
34,1,Mitte,1-Room Studio (1+0),29,1079,240
35,1,Mitte,1-Room Studio (1+0),36,1166,240
36,1,Mitte,1-Room Studio (1+0),30,1084,240
37,1,Mitte,1-Room Studio (1+0),31,1060,240
38,1,Mitte,1-Room Studio (1+0),41,1206,240
39,1,Mitte,1-Room Studio (1+0),27,931,240
40,1,Mitte,1-Room Studio (1+0),38,1207,240
41,1,Mitte,1-Room Studio (1+0),33,1071,240
42,1,Mitte,1-Room Studio (1+0),36,1105,240
43,1,Mitte,1-Room Studio (1+0),35,1094,240
44,1,Mitte,1-Room Studio (1+0),30,1010,240
45,1,Mitte,1-Room Studio (1+0),32,1081,240
46,1,Mitte,1-Room Studio (1+0),35,917,240
47,1,Mitte,1-Room Studio (1+0),30,1025,240
48,1,Mitte,1-Room Studio (1+0),41,1181,240
49,1,Mitte,1-Room Studio (1+0),35,1228,240
50,1,Mitte,1-Room Studio (1+0),28,1036,240
51,1,Mitte,1-Room Studio (1+0),30,1018,240
52,1,Mitte,1-Room Studio (1+0),30,1004,240
53,1,Mitte,1-Room Studio (1+0),44,1351,240
54,1,Mitte,1-Room Studio (1+0),39,1240,240
55,1,Mitte,1-Room Studio (1+0),27,1018,240
56,1,Mitte,1-Room Studio (1+0),39,1159,240
57,1,Mitte,1-Room Studio (1+0),38,1234,240
58,1,Mitte,1-Room Studio (1+0),42,1239,240
59,1,Mitte,1-Room Studio (1+0),29,1008,240
60,1,Mitte,1-Room Studio (1+0),40,1118,240
61,1,Mitte,1-Room Studio (1+0),25,963,240
62,1,Mitte,1-Room Studio (1+0),32,1084,240
63,1,Mitte,1-Room Studio (1+0),38,1159,240
64,1,Mitte,1-Room Studio (1+0),26,1099,240
65,1,Mitte,1-Room Studio (1+0),30,984,240
66,1,Mitte,1-Room Studio (1+0),39,1187,240
67,1,Mitte,1-Room Studio (1+0),34,1149,240
68,1,Mitte,1-Room Studio (1+0),39,1190,240
69,1,Mitte,1-Room Studio (1+0),41,1118,240
70,1,Mitte,1-Room Studio (1+0),37,1124,240
71,1,Mitte,1-Room Studio (1+0),40,1237,240
72,1,Mitte,1-Room Studio (1+0),31,1106,240
