id,district_id,district_name,property_type,size_sqm,total_monthly_rent_eur,sample_size_analyzed
1,1,Mitte,WG Room,21,758,380
2,1,Mitte,WG Room,21,833,380
3,1,Mitte,WG Room,18,717,380
4,1,Mitte,WG Room,25,847,380
5,1,Mitte,WG Room,17,740,380
6,1,Mitte,WG Room,17,695,380
7,1,Mitte,WG Room,20,666,380
8,1,Mitte,WG Room,13,643,380
9,1,Mitte,WG Room,15,706,380
10,1,Mitte,WG Room,16,640,380
11,1,Mitte,WG Room,24,790,380
12,1,Mitte,WG Room,19,676,380
13,1,Mitte,WG Room,17,721,380
14,1,Mitte,WG Room,15,709,380
15,1,Mitte,WG Room,17,703,380
16,1,Mitte,WG Room,17,799,380
17,1,Mitte,WG Room,19,692,380
18,1,Mitte,WG Room,22,721,380
19,1,Mitte,WG Room,20,664,380
20,1,Mitte,WG Room,14,689,380
21,1,Mitte,WG Room,22,784,380
22,1,Mitte,WG Room,19,726,380
23,1,Mitte,WG Room,14,648,380
24,1,Mitte,WG Room,17,764,380
25,1,Mitte,WG Room,20,673,380
26,1,Mitte,WG Room,20,735,380
27,1,Mitte,WG Room,17,744,380
28,1,Mitte,WG Room,23,830,380
29,1,Mitte,WG Room,16,690,380
30,1,Mitte,WG Room,20,796,380
31,1,Mitte,WG Room,17,708,380
32,1,Mitte,WG Room,15,638,380
33,1,Mitte,WG Room,22,837,380
34,1,Mitte,WG Room,19,785,380
35,1,Mitte,WG Room,20,723,380
36,1,Mitte,WG Room,20,821,380
37,1,Mitte,WG Room,19,810,380
38,1,Mitte,WG Room,12,693,380
39,1,Mitte,WG Room,19,727,380
40,1,Mitte,WG Room,19,651,380
41,1,Mitte,WG Room,18,744,380
42,1,Mitte,WG Room,24,777,380
43,1,Mitte,WG Room,16,681,380
44,1,Mitte,WG Room,22,791,380
45,1,Mitte,WG Room,17,739,380
46,1,Mitte,WG Room,19,784,380
47,1,Mitte,WG Room,17,701,380
48,1,Mitte,WG Room,18,662,380
49,1,Mitte,WG Room,20,764,380
50,1,Mitte,WG Room,19,729,380
51,1,Mitte,WG Room,14,661,380
52,1,Mitte,WG Room,18,692,380
53,1,Mitte,WG Room,18,746,380
